# Telescope Reflectivity with 2 silver mirrors
# Columns are (1) wavelength in nm and (2) reflectivity 0-1
# Source: https://www.gemini.edu/sciops/instruments/optics/Gemini_Optics_Reflectivity_Data.xlsx
# Data taken from GN sample from August 2013
# Update 17/05/2017 by A. Shugart at GS


Wavelength (nm)	Looking up
678.5	0.922443732
679	    0.923588122
679.5	0.923282124
680	    0.923134632
680.5	0.923338655
681	    0.92305958
681.5	0.923367347
682	    0.92408549
682.5	0.924355808
683	    0.923140047
683.5	0.923998666
684	    0.924642598
684.5	0.924459337
685	    0.924292479
685.5	0.924084032
686	    0.924336535
686.5	0.925794756
687 	0.925035508
687.5	0.925250758
688	    0.925785956
688.5	0.924149756
689 	0.925247309
689.5	0.925880673
690	    0.923896409
690.5	0.925256867
691	    0.925298928
691.5	0.926426059
692	    0.924220717
692.5	0.925374172
693 	0.926075428
693.5	0.926505662
694	    0.925086121
694.5	0.92697345
695	    0.925065557
695.5	0.926266283
696	    0.925472593
696.5	0.926292433
697	    0.926478867
697.5	0.926430042
698	    0.927137355
698.5	0.92692407
699	    0.927322212
699.5	0.926198538
700	    0.926966371
700.5	0.927469423
701	    0.92596029
701.5	0.926203733
702	    0.927250646
702.5	0.926570554
703	    0.927261317
703.5	0.927212526
704	    0.928069876
704.5	0.927961257
705	    0.92806994
705.5	0.927896188
706	    0.928234667
706.5	0.927798418
707	    0.92855403
707.5	0.928257169
708	    0.927590642
708.5	0.92834616
709	    0.929272871
709.5	0.929563145
710	    0.927838121
710.5	0.92826474
711	    0.929133037
711.5	0.929446228
712	    0.929703471
712.5	0.929781901
713 	0.929356137
713.5	0.929329098
714	    0.930916101
714.5	0.929137229
715	    0.92925944
715.5	0.929652005
716	    0.93216183
716.5	0.930270383
717	    0.93016467
717.5	0.929768852
718	    0.929763537
718.5	0.930400929
719	    0.929777275
719.5	0.930569791
720	    0.931766102
720.5	0.93114316
721	    0.931438797
721.5	0.930615404
722	    0.931446307
722.5	0.930177372
723	    0.931387476
723.5	0.931153761
724	    0.93021788
724.5	0.932041813
725	    0.932553718
725.5	0.931441982
726	    0.932858845
726.5	0.930979095
727	    0.933221058
727.5	0.933529676
728	    0.931950831
728.5	0.933094847
729	    0.932282075
729.5	0.931586665
730	    0.932576033
730.5	0.931652149
731	    0.933782737
731.5	0.933210196
732	    0.933583479
732.5	0.932602032
733	    0.934175104
733.5	0.932145551
734	    0.932825161
734.5	0.932412274
735	    0.932080271
735.5	0.934885735
736	    0.934019215
736.5	0.933197096
737	    0.934469185
737.5	0.933038193
738	    0.933279053
738.5	0.932636384
739	    0.934298955
739.5	0.935007549
740 	0.934588206
740.5	0.934554702
741	    0.934049317
741.5	0.935676393
742	    0.935400339
742.5	0.935651625
743	    0.934884509
743.5	0.937541089
744	    0.935771422
744.5	0.93540782
745	    0.935524668
745.5	0.936516004
746	    0.936392652
746.5	0.936660315
747	    0.93531803
747.5	0.935361785
748	    0.936000161
748.5	0.935149807
749	    0.937068316
749.5	0.935605649
750	    0.936505594
750.5	0.937190188
751	    0.935419137
751.5	0.937204176
752 	0.937374402
752.5	0.935838538
753	    0.937376517
753.5	0.937054644
754	    0.93846761
754.5	0.938290947
755	    0.935484027
755.5	0.936521468
756	    0.938186581
756.5	0.940666232
757	    0.938482494
757.5	0.938633618
758	    0.938428106
758.5	0.940469802
759	    0.939262822
759.5	0.941051541
760	    0.939592442
760.5	0.934766797
761	    0.936844975
761.5	0.938609448
762	    0.938589481
762.5	0.938173631
763 	0.938494975
763.5	0.938594184
764 	0.93855173
764.5	0.941909229
765 	0.94114624
765.5	0.938759557
766	    0.937918784
766.5	0.941101443
767	    0.941351402
767.5	0.938578986
768	    0.939690895
768.5	0.939611494
769 	0.941278815
