#ED449-W  4%H long  1.6199-1.6861um
#Cuton:  1619.45
#Cutoff: 1685.47
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1625.90  89.133094790
1626.00  89.221641540
1626.10  89.306816100
1626.20  89.515167240
1626.30  89.686492920
1626.40  89.937492370
1626.50  90.223312380
1626.60  90.333770750
1626.70  90.369483950
1626.80  90.567268370
1626.90  90.878334050
1627.00  91.009696960
1627.10  91.100921630
1627.20  91.058753970
1627.30  91.088088990
1627.40  91.242431640
1627.50  91.242462160
1627.60  91.240707400
1627.70  91.293518070
1627.80  91.375709530
1627.90  91.477821350
1628.00  91.689414980
1628.10  91.765037540
1628.20  91.844772340
1628.30  91.840271000
1628.40  91.832626340
1628.50  91.852699280
1628.60  91.959091190
1628.70  91.994995120
1628.80  91.973518370
1628.90  91.952545170
1629.00  91.982063290
1629.10  92.091796880
1629.20  92.271530150
1629.30  92.148689270
1629.40  91.894851680
1629.50  91.932914730
1629.60  92.137168880
1629.70  92.198516850
1629.80  92.153228760
1629.90  91.971206670
1630.00  91.970405580
1630.10  92.079681400
1630.20  92.115829470
1630.30  91.983383180
1630.40  91.796234130
1630.50  91.787582400
1630.60  91.955169680
1630.70  92.092269900
1630.80  92.177810670
1630.90  92.101379390
1631.00  91.926139830
1631.10  91.932640080
1631.20  91.873016360
1631.30  91.936470030
1631.40  92.000000000
1631.50  91.843521120
1631.60  91.716903690
1631.70  91.508567810
1631.80  91.674819950
1631.90  91.774765010
1632.00  91.564231870
1632.10  91.525405880
1632.20  91.560150150
1632.30  91.727264400
1632.40  91.879318240
1632.50  91.832733150
1632.60  91.730278020
1632.70  91.528343200
1632.80  91.404457090
1632.90  91.413864140
1633.00  91.410659790
1633.10  91.320487980
1633.20  91.156768800
1633.30  91.205963130
1633.40  91.251869200
1633.50  91.349685670
1633.60  91.289985660
1633.70  91.203567500
1633.80  91.207786560
1633.90  91.118675230
1634.00  91.210594180
1634.10  91.183822630
1634.20  91.038337710
1634.30  90.964233400
1634.40  90.980056760
1634.50  91.047790530
1634.60  90.948158260
1634.70  90.756965640
1634.80  90.737747190
1634.90  90.712615970
1635.00  90.795349120
1635.10  90.798645020
1635.20  90.686080930
1635.30  90.781845090
1635.40  90.629074100
1635.50  90.661445620
1635.60  90.498634340
1635.70  90.446868900
1635.80  90.265815730
1635.90  90.250267030
1636.00  90.402336120
1636.10  90.417488100
1636.20  90.467742920
1636.30  90.373039250
1636.40  90.286140440
1636.50  90.216262820
1636.60  90.112953190
1636.70  90.213897710
1636.80  90.108184810
1636.90  90.059120180
1637.00  90.129272460
1637.10  90.024673460
1637.20  90.036865230
1637.30  89.981269840
1637.40  89.969078060
1637.50  89.901344300
1637.60  89.861068730
1637.70  89.962074280
1637.80  89.968421940
1637.90  90.066497800
1638.00  90.051475520
1638.10  90.032913210
1638.20  89.970710750
1638.30  89.699378970
1638.40  89.577072140
1638.50  89.483024600
1638.60  89.580108640
1638.70  89.639541630
